electoral_district,name,voters,color_id,color,terr
1,Республика Адыгея (Адыгея) – Адыгейский одномандатный избирательный округ,340335,7,#ffa500,
2,Республика Алтай – Алтайский одномандатный избирательный округ,163721,11,#00ffff,
3,Республика Башкортостан – Уфимский одномандатный избирательный округ,502882,5,#b03060,"городской округ город Уфа: Демский район, Кировский район, Советский район; муниципальный район Благоварский район; муниципальный район Буздякский район; муниципальный район Давлекановский район; муниципальный район Кармаскалинский район; муниципальный район Уфимский район: сельское поселение Авдонский сельсовет, сельское поселение Булгаковский сельсовет, сельское поселение Жуковский сельсовет, сельское поселение Зубовский сельсовет, сельское поселение Ольховский сельсовет, сельское поселение Таптыковский сельсовет, сельское поселение Чесноковский сельсовет, сельское поселение Юматовский сельсовет; муниципальный район Чекмагушевский район; муниципальный район Чишминский район"
4,Республика Башкортостан – Благовещенский одномандатный избирательный округ,516408,6,#ff0000,"городской округ город Уфа: Ленинский район, Орджоникидзевский район; муниципальный район Аскинский район; муниципальный район Балтачевский район; муниципальный район Белокатайский район; муниципальный район Бирский район; муниципальный район Благовещенский район; муниципальный район Бураевский район; муниципальный район Дуванский район; муниципальный район Караидельский район; муниципальный район Кигинский район; муниципальный район Кушнаренковский район; муниципальный район Мечетлинский район; муниципальный район Мишкинский район; муниципальный район Нуримановский район; муниципальный район Салаватский район; муниципальный район Татышлинский район; муниципальный район Уфимский район: сельское поселение Алексеевский сельсовет, сельское поселение Дмитриевский сельсовет, сельское поселение Кармасанский сельсовет, сельское поселение Красноярский сельсовет, сельское поселение Миловский сельсовет, сельское поселение Михайловский сельсовет, сельское поселение Николаевский сельсовет, сельское поселение Черкасский сельсовет, сельское поселение Шемякский сельсовет"
5,Республика Башкортостан – Белорецкий одномандатный избирательный округ,539331,1,#2f4f4f,"городской округ город Уфа: Калининский район, Октябрьский район; городской округ ЗАТО город Межгорье; муниципальный район Архангельский район; муниципальный район Белорецкий район; муниципальный район Иглинский район; муниципальный район Уфимский район: сельское поселение Кирилловский сельсовет, сельское поселение Русско-Юрмашский сельсовет,; муниципальный район Учалинский район"
6,Республика Башкортостан – Нефтекамский одномандатный избирательный округ,467833,3,#008000,городской округ город Агидель; городской округ город Нефтекамск; городской округ город Октябрьский; муниципальный район Бакалинский район; муниципальный район Дюртюлинский район; муниципальный район Илишевский район; муниципальный район Калтасинский район; муниципальный район Краснокамский район; муниципальный район Туймазинский район; муниципальный район Шаранский район; муниципальный район Янаульский район
7,Республика Башкортостан – Салаватский одномандатный избирательный округ,452731,6,#ff0000,городской округ город Кумертау; городской округ город Салават; городской округ город Сибай; муниципальный район Абзелиловский район; муниципальный район Баймакский район; муниципальный район Бурзянский район; муниципальный район Зианчуринский район; муниципальный район Зилаирский район; муниципальный район Кугарчинский район; муниципальный район Куюргазинский район; муниципальный район Мелеузовский район; муниципальный район Стерлибашевский район; муниципальный район Федоровский район; муниципальный район Хайбуллинский район
8,Республика Башкортостан – Стерлитамакский одномандатный избирательный округ,494497,4,#00008b,городской округ город Стерлитамак; муниципальный район Альшеевский район; муниципальный район Аургазинский район; муниципальный район Белебеевский район; муниципальный район Бижбулякский район; муниципальный район Гафурийский район; муниципальный район Ермекеевский район; муниципальный район Ишимбайский район; муниципальный район Миякинский район; муниципальный район Стерлитамакский район
9,Республика Бурятия – Бурятский одномандатный избирательный округ,688141,11,#00ffff,
10,Республика Дагестан – Махачкалинский одномандатный избирательный округ,574385,9,#7fff00,городской округ город Каспийск; городской округ город Кизилюрт; городской округ город Кизляр; городской округ город Махачкала; городской округ город Южно-Сухокумск; муниципальный район Бабаюртовский район; муниципальный район Кизилюртовский район; муниципальный район Кизлярский район; муниципальный район Кумторкалинский район; муниципальный район Ногайский район; муниципальный район Тарумовский район
11,Республика Дагестан – Буйнакский одномандатный избирательный округ,571667,15,#ee82ee,городской округ город Буйнакск; городской округ город Хасавюрт; муниципальный район Ахвахский район; муниципальный район Ботлихский район; муниципальный район Буйнакский район; муниципальный район Гергебильский район; муниципальный район Гумбетовский район; муниципальный район Гунибский район; муниципальный район Казбековский район; муниципальный район Левашинский район; муниципальный район Новолакский район; муниципальный район Тляратинский район; муниципальный район Унцукульский район; муниципальный район Хасавюртовский район; муниципальный район Хунзахский район; муниципальный район Цумадинский район; муниципальный район Цунтинский район; муниципальный район Чародинский район; муниципальный район Шамильский район
12,Республика Дагестан – Дербентский одномандатный избирательный округ,579436,2,#8b4513,городской округ город Дагестанские Огни; городской округ город Дербент; городской округ город Избербаш; муниципальный район Агульский район; муниципальный район Акушинский район; муниципальный район Ахтынский район; муниципальный район Дахадаевский район; муниципальный район Дербентский район; муниципальный район Докузпаринский район; муниципальный район Кайтагский район; муниципальный район Карабудахкентский район; муниципальный район Каякентский район; муниципальный район Кулинский район; муниципальный район Курахский район; муниципальный район Лакский район; муниципальный район Магарамкентский район; муниципальный район Рутульский район; муниципальный район Сергокалинский район; муниципальный район Сулейман-Стальский район; муниципальный район Табасаранский район; муниципальный район Хивский район
13,Донецкая Народная Республика – Макеевский одномандатный избирательный округ,505104,7,#ffa500,"городской округ Донецк: город Моспино; Буденновский внутригородской район; Пролетарский внутригородской район; поселки городского типа: Горбачево-Михайловка, Ларино; села: Бирюки, Вербовая Балка, Гришки, Михайловка, Новодворское, Октябрьское, Павлоградское, Темрюк; городской округ Иловайск; городской округ Макеевка; городской округ Харцызск; Амвросиевский муниципальный округ; Старобешевский муниципальный округ; Тельмановский муниципальный округ"
14,Донецкая Народная Республика – Донецкий одномандатный избирательный округ,593904,11,#00ffff,"городской округ Докучаевск; городской округ Донецк: город Красногоровка, город Марьинка; Ворошиловский внутригородской район; Калининский внутригородской район; Кировский внутригородской район; Ленинский внутригородской район; Петровский внутригородской район; поселки городского типа: Александровка, Старомихайловка; поселок Лозовое; села: Кременец, Луганское; городской округ Мариуполь; Великоновосёлковский муниципальный округ; Волновахский муниципальный округ; Володарский муниципальный округ; Добропольский муниципальный округ; Красноармейский муниципальный округ; Кураховский муниципальный округ; Мангушский муниципальный округ; Новоазовский муниципальный округ"
